,taxi_id,traj_id,path,length
52,503,642,"[1122268858, 1122268857, 1122268857, 1122268856, 1122268856, 1122268855, 1122268855, 1122268853, 1122268853, 1122268852, 1122268851, 1122268851, 1122268849, 1122268849, 1122268848, 1122268848, 1122268847]",17
53,291,699,"[397144790, 1050261012, 397144558, 397144558, 513701211, 513701211, 513701210, 290052332]",8
54,416,1141,"[1120051153, 1120051153]",2
55,460,670,"[286668073, 286668073]",2
56,404,342,"[29480941, 29480941, 29480941, 29480941, 514580482, 514580482]",6
57,6,943,"[306338109, 306338109, 306338109, 306338109, 306338109, 306338109, 1021548265, 1021548265, 306338108, 306338108]",10
58,307,260,"[361622905, 228339825, 228339825, 417087433, 688337288, 154647381, 154647381, 154647382, 154647382, 154647382, 154647382]",11
59,491,122,"[619378851, 680960333, 680960333, 108389186, 108389186]",5
60,358,209,"[413791397, 443021962, 443021962, 413791398, 513928557, 776642663, 706534242, 27041488, 8922243, 8922283, 706534246, 706534246, 88142688, 396935402, 396935399, 396935396, 396935405, 1060013921]",18
61,441,882,"[27570786, 27570786, 27570786, 27570786, 91185847, 91185847, 91185847, 225847502]",8
62,365,537,"[850158700, 850158700, 850158700, 91181775, 91181775, 91181775]",6
63,109,34,"[1112250559, 1112250557, 1112250557, 1032777734, 1032777736, 1032777737, 1032777737, 1032777737, 1032777738, 1112271472, 1032777739, 440486297, 440486297, 1032777740, 968937449]",15
64,18,962,"[225806030, 225806030, 225806030]",3
65,26,596,"[721174655, 28841120, 721174654, 681183502, 681183502, 28841121, 28841121, 28841121, 415726782, 415726782, 417094961, 417094961, 968937451]",13
66,410,303,"[254756526, 254756526, 254756526, 254756526, 1050251486, 1050251486, 254971055, 254971055, 775393066, 775393066, 27398048, 27398048, 27398048, 513729745]",14
67,424,149,"[530592670, 530592670, 254759960, 254759960, 406722502, 774686754, 397085190, 417389583, 417389583, 417389583, 417389583, 417389556, 417389558, 417389558, 417389545, 417389545, 417389549, 254759959]",18
68,50,80,"[191296172, 191296172, 721725415, 617990572, 617990572, 706552278, 706552278, 706552278, 721725416, 721725416, 721725416, 617990573]",12
69,461,393,"[513962742, 513962742, 1168069941, 1168069941]",4
70,495,36,"[415306319, 985061729]",2
